IV1,IV2,DV,timeStamp,,,,,,,,,
30,450,0.0119722,2020-09-24 AM 1:15:43,,,,,,,,,
15,600,0.0088485,2020-09-24 AM 1:15:43,,,,,,,,,
15,300,0.0103293,2020-09-24 AM 1:15:43,,,,,,,,,
45,450,0.00865,2020-09-24 AM 1:15:43,,,,,,,,,
15,150,0.0111006,2020-09-24 AM 1:15:43,,,,,,,,,
30,600,0.0123701,2020-09-24 AM 1:15:43,,,,,,,,,
45,300,0.0081091,2020-09-24 AM 1:15:43,,,,,,,,,
45,150,0.0126186,2020-09-24 AM 1:15:43,,,,,,,,,
30,300,0.0120625,2020-09-24 AM 1:15:43,,,,,,,,,
45,600,0.0132132,2020-09-24 AM 1:15:43,,,,,,,,,
45,300,0.0189874,2020-09-24 AM 1:16:02,,,,,,,,,
30,450,0.010236,2020-09-24 AM 1:16:02,,,,,,,,,
45,450,0.0114662,2020-09-24 AM 1:16:02,,,,,,,,,
30,150,0.0097716,2020-09-24 AM 1:16:02,,,,,,,,,
15,150,0.0138624,2020-09-24 AM 1:16:02,,,,,,,,,
30,600,0.0145806,2020-09-24 AM 1:16:02,,,,,,,,,
15,600,0.0108837,2020-09-24 AM 1:16:02,,,,,,,,,
45,600,0.0092614,2020-09-24 AM 1:16:02,,,,,,,,,
30,300,0.0099905,2020-09-24 AM 1:16:02,,,,,,,,,
45,150,0.0119659,2020-09-24 AM 1:16:02,,,,,,,,,
15,450,0.0130743,2020-09-24 AM 1:16:02,,,,,,,,,
15,300,0.0110688,2020-09-24 AM 1:16:02,,,,,,,,,
45,300,0.0177764,2020-09-24 AM 1:16:57,,,,,,,,,
15,300,0.0114295,2020-09-24 AM 1:16:57,,,,,,,,,
45,600,0.0079907,2020-09-24 AM 1:16:57,,,,,,,,,
30,150,0.0125036,2020-09-24 AM 1:16:57,,,,,,,,,
30,300,0.0101909,2020-09-24 AM 1:16:57,,,,,,,,,
15,600,0.008766,2020-09-24 AM 1:16:57,,,,,,,,,
15,450,0.0082498,2020-09-24 AM 1:16:57,,,,,,,,,
30,600,0.0103652,2020-09-24 AM 1:16:57,,,,,,,,,
45,450,0.0098592,2020-09-24 AM 1:16:57,,,,,,,,,
30,450,0.0095945,2020-09-24 AM 1:16:57,,,,,,,,,
45,150,0.0086786,2020-09-24 AM 1:16:57,,,,,,,,,
15,150,0.0093659,2020-09-24 AM 1:16:57,,,,,,,,,
30,600,0.0213139,2020-09-24 AM 1:17:14,,,,,,,,,
30,450,0.011431,2020-09-24 AM 1:17:14,,,,,,,,,
30,150,0.0113386,2020-09-24 AM 1:17:14,,,,,,,,,
45,450,0.0096003,2020-09-24 AM 1:17:14,,,,,,,,,
30,300,0.0105274,2020-09-24 AM 1:17:14,,,,,,,,,
15,450,0.0092621,2020-09-24 AM 1:17:14,,,,,,,,,
15,300,0.007684,2020-09-24 AM 1:17:14,,,,,,,,,
15,150,0.0106986,2020-09-24 AM 1:17:14,,,,,,,,,
45,150,0.0106402,2020-09-24 AM 1:17:14,,,,,,,,,
45,300,0.0093785,2020-09-24 AM 1:17:14,,,,,,,,,
15,600,0.0100091,2020-09-24 AM 1:17:14,,,,,,,,,
45,600,0.0092432,2020-09-24 AM 1:17:14,,,,,,,,,
45,300,0.022242,2020-09-24 AM 1:17:29,,,,,,,,,
15,300,0.0102852,2020-09-24 AM 1:17:29,,,,,,,,,
30,450,0.0090257,2020-09-24 AM 1:17:29,,,,,,,,,
30,300,0.009118,2020-09-24 AM 1:17:29,,,,,,,,,
45,150,0.010629,2020-09-24 AM 1:17:29,,,,,,,,,
45,600,0.0090367,2020-09-24 AM 1:17:29,,,,,,,,,
45,450,0.0142112,2020-09-24 AM 1:17:29,,,,,,,,,
15,600,0.0115324,2020-09-24 AM 1:17:29,,,,,,,,,
15,150,0.0084369,2020-09-24 AM 1:17:29,,,,,,,,,
30,600,0.0108081,2020-09-24 AM 1:17:29,,,,,,,,,
30,150,0.0086077,2020-09-24 AM 1:17:29,,,,,,,,,
15,450,0.0097294,2020-09-24 AM 1:17:29,,,,,,,,,
45,300,0.0182874,2020-09-24 AM 1:17:48,,,,,,,,,
15,600,0.0094545,2020-09-24 AM 1:17:48,,,,,,,,,
15,300,0.0096803,2020-09-24 AM 1:17:48,,,,,,,,,
15,450,0.0090137,2020-09-24 AM 1:17:48,,,,,,,,,
45,150,0.0119579,2020-09-24 AM 1:17:48,,,,,,,,,
30,600,0.0102209,2020-09-24 AM 1:17:48,,,,,,,,,
30,450,0.0120802,2020-09-24 AM 1:17:48,,,,,,,,,
15,150,0.0131465,2020-09-24 AM 1:17:48,,,,,,,,,
45,600,0.0098912,2020-09-24 AM 1:17:48,,,,,,,,,
30,150,0.0110059,2020-09-24 AM 1:17:48,,,,,,,,,
30,300,0.0102978,2020-09-24 AM 1:17:48,,,,,,,,,
45,450,0.0083613,2020-09-24 AM 1:17:48,,,,,,,,,
45,450,0.0191633,2020-09-24 AM 1:18:07,,,,,,,,,
30,150,0.0106287,2020-09-24 AM 1:18:07,,,,,,,,,
15,300,0.0060236,2020-09-24 AM 1:18:07,,,,,,,,,
15,450,0.0087834,2020-09-24 AM 1:18:07,,,,,,,,,
30,300,0.0090322,2020-09-24 AM 1:18:07,,,,,,,,,
30,600,0.0112343,2020-09-24 AM 1:18:07,,,,,,,,,
45,600,0.0104698,2020-09-24 AM 1:18:07,,,,,,,,,
15,150,0.0087615,2020-09-24 AM 1:18:07,,,,,,,,,
45,150,0.0093462,2020-09-24 AM 1:18:07,,,,,,,,,
15,600,0.010653,2020-09-24 AM 1:18:07,,,,,,,,,
30,450,0.0109388,2020-09-24 AM 1:18:07,,,,,,,,,
45,300,0.0114673,2020-09-24 AM 1:18:07,,,,,,,,,
30,150,0.0200752,2020-09-24 AM 1:18:24,,,,,,,,,
30,450,0.0113114,2020-09-24 AM 1:18:24,,,,,,,,,
30,600,0.0108803,2020-09-24 AM 1:18:24,,,,,,,,,
15,600,0.0064286,2020-09-24 AM 1:18:24,,,,,,,,,
45,300,0.011175,2020-09-24 AM 1:18:25,,,,,,,,,
45,150,0.0119529,2020-09-24 AM 1:18:25,,,,,,,,,
15,300,0.0081608,2020-09-24 AM 1:18:25,,,,,,,,,
45,450,0.0104215,2020-09-24 AM 1:18:25,,,,,,,,,
15,450,0.0100415,2020-09-24 AM 1:18:25,,,,,,,,,
30,300,0.0093855,2020-09-24 AM 1:18:25,,,,,,,,,
15,150,0.0103637,2020-09-24 AM 1:18:25,,,,,,,,,
45,600,0.0100223,2020-09-24 AM 1:18:25,,,,,,,,,
45,450,0.020352,2020-09-24 AM 1:19:10,,,,,,,,,
30,450,0.0126572,2020-09-24 AM 1:19:10,,,,,,,,,
15,600,0.012637,2020-09-24 AM 1:19:10,,,,,,,,,
30,300,0.0106622,2020-09-24 AM 1:19:10,,,,,,,,,
15,450,0.0135835,2020-09-24 AM 1:19:10,,,,,,,,,
15,150,0.0112746,2020-09-24 AM 1:19:10,,,,,,,,,
45,150,0.0113849,2020-09-24 AM 1:19:10,,,,,,,,,
30,150,0.0107864,2020-09-24 AM 1:19:10,,,,,,,,,
15,300,0.0111496,2020-09-24 AM 1:19:10,,,,,,,,,
45,300,0.0103399,2020-09-24 AM 1:19:10,,,,,,,,,
30,600,0.0137452,2020-09-24 AM 1:19:10,,,,,,,,,
45,600,0.0123676,2020-09-24 AM 1:19:10,,,,,,,,,
45,300,0.020538,2020-09-24 AM 1:19:26,,,,,,,,,
45,450,0.0117,2020-09-24 AM 1:19:26,,,,,,,,,
15,150,0.0103206,2020-09-24 AM 1:19:26,,,,,,,,,
45,150,0.0107016,2020-09-24 AM 1:19:26,,,,,,,,,
30,150,0.0129804,2020-09-24 AM 1:19:26,,,,,,,,,
30,300,0.0113648,2020-09-24 AM 1:19:26,,,,,,,,,
15,300,0.0097843,2020-09-24 AM 1:19:26,,,,,,,,,
45,600,0.0099839,2020-09-24 AM 1:19:26,,,,,,,,,
30,450,0.011879,2020-09-24 AM 1:19:26,,,,,,,,,
15,600,0.0114994,2020-09-24 AM 1:19:26,,,,,,,,,
30,600,0.0102561,2020-09-24 AM 1:19:26,,,,,,,,,
15,450,0.0105576,2020-09-24 AM 1:19:26,,,,,,,,,
15,300,0.0190743,2020-09-24 AM 1:19:42,,,,,,,,,
30,300,0.0111407,2020-09-24 AM 1:19:42,,,,,,,,,
30,150,0.0118252,2020-09-24 AM 1:19:42,,,,,,,,,
45,450,0.008769,2020-09-24 AM 1:19:42,,,,,,,,,
30,450,0.0115813,2020-09-24 AM 1:19:42,,,,,,,,,
45,600,0.010738,2020-09-24 AM 1:19:42,,,,,,,,,
45,150,0.0112046,2020-09-24 AM 1:19:42,,,,,,,,,
45,300,0.0115592,2020-09-24 AM 1:19:42,,,,,,,,,
15,450,0.0116776,2020-09-24 AM 1:19:42,,,,,,,,,
15,150,0.0128464,2020-09-24 AM 1:19:42,,,,,,,,,
15,600,0.0102751,2020-09-24 AM 1:19:42,,,,,,,,,
30,600,0.0114389,2020-09-24 AM 1:19:42,,,,,,,,,
30,450,0.0201089,2020-09-24 AM 1:19:59,,,,,,,,,
30,150,0.0124324,2020-09-24 AM 1:19:59,,,,,,,,,
45,300,0.0095834,2020-09-24 AM 1:19:59,,,,,,,,,
15,600,0.0105446,2020-09-24 AM 1:19:59,,,,,,,,,
45,150,0.0101617,2020-09-24 AM 1:19:59,,,,,,,,,
30,300,0.0134673,2020-09-24 AM 1:19:59,,,,,,,,,
15,300,0.0105758,2020-09-24 AM 1:19:59,,,,,,,,,
30,600,0.0112923,2020-09-24 AM 1:19:59,,,,,,,,,
45,600,0.0112682,2020-09-24 AM 1:19:59,,,,,,,,,
45,450,0.0142128,2020-09-24 AM 1:19:59,,,,,,,,,
15,150,0.0119846,2020-09-24 AM 1:19:59,,,,,,,,,
15,450,0.0106713,2020-09-24 AM 1:19:59,,,,,,,,,
15,450,0.0211911,2020-09-24 AM 1:20:15,,,,,,,,,
45,300,0.0122296,2020-09-24 AM 1:20:15,,,,,,,,,
15,300,0.0102471,2020-09-24 AM 1:20:15,,,,,,,,,
15,600,0.0105955,2020-09-24 AM 1:20:15,,,,,,,,,
30,300,0.0110144,2020-09-24 AM 1:20:15,,,,,,,,,
15,150,0.0098961,2020-09-24 AM 1:20:15,,,,,,,,,
30,600,0.0110091,2020-09-24 AM 1:20:15,,,,,,,,,
30,450,0.0126635,2020-09-24 AM 1:20:15,,,,,,,,,
30,150,0.0106755,2020-09-24 AM 1:20:15,,,,,,,,,
45,600,0.0111357,2020-09-24 AM 1:20:15,,,,,,,,,
45,150,0.00685,2020-09-24 AM 1:20:15,,,,,,,,,
45,450,0.010527,2020-09-24 AM 1:20:15,,,,,,,,,
